City,Locality,BHK,Area_sqft,Bathrooms,Total_Floors,Floor_Number,Parking_Spaces,Balcony,Property_Age,Furnishing,Property_Type,Distance_to_City_Center_km,Metro_Distance_km,Nearby_Schools,Nearby_Hospitals,Amenities_Score,Security_Score,Maintenance_Cost,Price_INR
Vijayawada,Poranki,3,1681,3.0,10,1,3.0,2.0,27,Semi-Furnished,Villa,6.2,3.3,8.0,7,1.0,4,5817,9323000
Chennai,T Nagar,3,1800,3.0,7,4,2.0,1.0,31,Semi-Furnished,Apartment,4.3,1.6,4.0,7,10.0,7,7217,12812000
Chennai,OMR,4,2002,4.0,12,10,1.0,1.0,15,Fully-Furnished,Apartment,3.8,1.3,8.0,6,7.0,6,4615,17992000
Visakhapatnam,Dwaraka Nagar,4,2267,5.0,4,4,2.0,0.0,30,Unfurnished,Independent House,21.2,10.3,3.0,1,3.0,10,6193,10720000
Visakhapatnam,Gajuwaka,3,2120,2.0,15,8,2.0,2.0,28,Unfurnished,Independent House,11.7,3.8,8.0,7,9.0,10,4632,10439000
Bengaluru,Whitefield,3,1867,2.0,8,6,2.0,0.0,3,Unfurnished,Villa,1.5,8.0,2.0,2,8.0,5,6399,18238000
Ahmedabad,Satellite,4,2477,4.0,5,3,2.0,2.0,24,Semi-Furnished,Independent House,7.3,4.8,3.0,3,4.0,5,13254,17448000
Visakhapatnam,Rushikonda,4,1981,4.0,7,7,1.0,1.0,40,Semi-Furnished,Apartment,6.8,3.8,4.0,3,6.0,5,6374,11605000
Mumbai,Navi Mumbai,4,1932,5.0,7,2,1.0,2.0,10,Unfurnished,Apartment,9.2,2.5,2.0,3,2.0,3,5748,29217000
Vijayawada,Gunadala,2,1397,2.0,3,3,1.0,0.0,17,Unfurnished,Apartment,5.9,1.3,4.0,2,10.0,9,7095,7415000
Mumbai,Powai,2,1526,2.0,12,1,1.0,2.0,25,Semi-Furnished,Independent House,6.0,2.1,3.0,4,7.0,7,7265,23625000
Visakhapatnam,Seethammadhara,2,1395,1.0,12,1,1.0,1.0,34,Semi-Furnished,Independent House,4.4,1.2,8.0,2,8.0,8,3484,7456000
Visakhapatnam,Dwaraka Nagar,3,1941,4.0,15,13,1.0,2.0,9,Semi-Furnished,Apartment,7.3,5.1,8.0,3,2.0,1,4238,12188000
Mumbai,Powai,4,1793,4.0,12,7,1.0,0.0,13,Unfurnished,Apartment,7.3,6.9,10.0,4,5.0,1,7811,27312000
Pune,Wakad,2,1171,2.0,7,7,3.0,1.0,30,Semi-Furnished,Apartment,2.8,4.1,0.0,6,10.0,4,5237,9904000
Bengaluru,HSR Layout,4,2174,3.0,5,2,1.0,1.0,38,Semi-Furnished,Apartment,4.6,1.8,,5,5.0,4,12376,19164000
Bengaluru,Whitefield,2,1683,2.0,10,1,2.0,3.0,24,Semi-Furnished,Apartment,0.6,3.2,3.0,3,9.0,10,8820,15101000
Hyderabad,Kukatpally,3,1915,3.0,4,2,1.0,1.0,24,Semi-Furnished,Apartment,7.1,1.7,3.0,4,4.0,10,4238,13148000
Hyderabad,Kukatpally,4,2018,4.0,7,3,2.0,0.0,12,Fully-Furnished,Apartment,7.8,4.0,7.0,4,1.0,5,9796,16669000
Pune,Hinjewadi,2,1191,2.0,8,4,1.0,2.0,23,Fully-Furnished,Villa,3.0,2.7,8.0,6,2.0,9,3157,10712000
Kolkata,Behala,3,2027,4.0,4,3,3.0,1.0,20,Fully-Furnished,Apartment,6.0,4.4,6.0,4,2.0,1,4553,13236000
Delhi,Vasant Kunj,2,1709,2.0,3,2,1.0,2.0,31,Unfurnished,Apartment,6.1,7.2,8.0,5,2.0,1,10253,15586000
Hyderabad,Madhapur,4,2330,5.0,3,2,1.0,1.0,22,Fully-Furnished,Independent House,11.7,9.1,2.0,3,4.0,3,12433,18500000
Hyderabad,Banjara Hills,2,1392,2.0,8,8,1.0,1.0,22,Semi-Furnished,Apartment,3.7,5.1,3.0,4,2.0,3,7031,9131000
Visakhapatnam,Rushikonda,4,2175,4.0,3,1,1.0,1.0,31,Fully-Furnished,Apartment,9.4,2.6,8.0,0,7.0,6,7643,12539000
Mumbai,Borivali,4,2457,5.0,8,4,2.0,3.0,29,Fully-Furnished,Independent House,12.5,0.9,7.0,2,9.0,4,9197,40336000
Vijayawada,Poranki,2,1133,2.0,4,4,1.0,3.0,16,Fully-Furnished,Independent House,3.9,1.8,7.0,5,4.0,7,3702,7993000
Chennai,OMR,3,1756,2.0,15,12,2.0,2.0,33,Fully-Furnished,Apartment,15.4,5.4,2.0,3,10.0,6,7107,14115000
Pune,Baner,2,970,1.0,12,5,2.0,1.0,31,Semi-Furnished,Independent House,1.6,7.1,9.0,0,7.0,2,4012,8061000
Bengaluru,HSR Layout,2,1078,2.0,12,3,1.0,1.0,28,Unfurnished,Apartment,9.8,5.6,8.0,0,10.0,1,6083,10250000
Vijayawada,Benz Circle,5,3036,5.0,15,12,1.0,2.0,9,Semi-Furnished,Apartment,6.3,4.7,0.0,6,5.0,5,11789,16853000
Kolkata,Dum Dum,4,2046,4.0,15,6,1.0,2.0,36,Semi-Furnished,Apartment,10.0,3.7,4.0,4,8.0,10,4415,13003000
Bengaluru,Koramangala,3,1723,3.0,6,1,1.0,1.0,20,Semi-Furnished,Independent House,5.7,3.3,2.0,7,5.0,3,7977,16244000
Pune,Wakad,4,2394,4.0,15,1,1.0,3.0,2,Unfurnished,Apartment,4.5,4.6,8.0,0,9.0,3,8173,18660000
Ahmedabad,Maninagar,3,1607,4.0,5,3,3.0,3.0,24,Fully-Furnished,Apartment,4.0,1.1,2.0,2,2.0,8,7796,12273000
Bengaluru,HSR Layout,2,1311,2.0,4,2,0.0,3.0,11,Fully-Furnished,Apartment,2.3,1.8,10.0,6,5.0,1,6248,13157000
Bengaluru,Yelahanka,3,1820,4.0,10,7,1.0,0.0,38,Semi-Furnished,Independent House,12.6,1.1,4.0,0,8.0,3,7387,15546000
Chennai,OMR,4,2428,4.0,7,3,2.0,2.0,4,Semi-Furnished,Apartment,4.5,9.9,8.0,0,8.0,2,11684,20625000
Delhi,Rohini,2,1545,1.0,7,2,3.0,0.0,7,Semi-Furnished,Apartment,6.4,3.4,4.0,3,10.0,6,5946,15986000
Ahmedabad,Bodakdev,5,2535,6.0,12,9,1.0,2.0,27,Unfurnished,Apartment,3.0,13.0,4.0,2,6.0,2,5673,15732000
Mumbai,Bandra,4,2195,3.0,6,6,1.0,0.0,38,Semi-Furnished,Apartment,11.6,8.8,2.0,5,6.0,7,12490,34112000
Chennai,Anna Nagar,2,1190,1.0,5,3,0.0,1.0,21,Semi-Furnished,Apartment,8.7,2.6,0.0,2,10.0,8,5511,9842000
Pune,Hadapsar,1,1185,2.0,10,5,0.0,1.0,18,Semi-Furnished,Apartment,1.8,3.3,4.0,4,5.0,6,2418,9740000
Vijayawada,Benz Circle,4,2180,3.0,2,2,2.0,2.0,11,Unfurnished,Villa,9.8,3.9,2.0,0,3.0,1,7263,10529000
Chennai,OMR,3,1929,3.0,5,4,1.0,2.0,37,Unfurnished,Apartment,1.0,5.4,2.0,5,7.0,5,10284,14111000
Hyderabad,Kondapur,2,1379,2.0,12,3,1.0,2.0,13,Semi-Furnished,Apartment,6.8,2.1,10.0,5,5.0,5,5881,10990000
Bengaluru,Whitefield,2,1051,2.0,4,2,2.0,2.0,36,Unfurnished,Independent House,5.0,0.9,1.0,0,2.0,5,4145,8595000
Visakhapatnam,MVP Colony,3,2102,3.0,7,3,2.0,1.0,34,Semi-Furnished,Independent House,6.3,4.2,7.0,2,3.0,8,6938,12541000
Ahmedabad,Bodakdev,2,1359,2.0,8,3,1.0,2.0,18,Unfurnished,Independent House,1.9,0.3,1.0,1,8.0,5,6914,9576000
Delhi,Dwarka,4,2354,4.0,12,6,1.0,1.0,30,Fully-Furnished,Apartment,15.4,3.4,7.0,4,7.0,10,12635,24182000
Delhi,Rohini,2,1491,2.0,8,4,1.0,2.0,22,Fully-Furnished,Villa,3.9,2.2,1.0,4,10.0,7,6746,15699000
Visakhapatnam,Seethammadhara,3,1603,3.0,15,3,1.0,3.0,28,Semi-Furnished,Villa,0.7,1.2,5.0,2,7.0,8,7019,10143000
Bengaluru,Koramangala,2,1403,2.0,8,8,3.0,0.0,24,Semi-Furnished,Apartment,4.3,2.6,10.0,1,6.0,10,3036,13506000
Chennai,Anna Nagar,3,2032,3.0,8,8,0.0,2.0,4,Semi-Furnished,Apartment,3.2,11.1,4.0,3,5.0,2,4292,16704000
Hyderabad,Kondapur,4,2174,3.0,10,1,3.0,2.0,5,Unfurnished,Apartment,6.2,1.7,7.0,2,7.0,5,8422,15742000
Delhi,Mayur Vihar,3,1740,4.0,5,4,1.0,1.0,33,Unfurnished,Apartment,13.9,2.2,10.0,6,9.0,4,5060,16322000
Mumbai,Andheri,3,1718,3.0,10,9,2.0,3.0,14,Unfurnished,Apartment,1.1,1.7,10.0,0,5.0,9,6950,27216000
Pune,Kharadi,5,2609,6.0,6,2,2.0,1.0,35,Semi-Furnished,Apartment,3.7,2.1,5.0,1,7.0,7,15351,20961000
Ahmedabad,Prahlad Nagar,5,2847,5.0,2,1,1.0,1.0,18,Unfurnished,Apartment,14.5,1.9,10.0,7,4.0,4,7670,18485000
Ahmedabad,Vastrapur,4,2191,4.0,4,3,1.0,1.0,9,Unfurnished,Villa,2.2,8.4,0.0,3,1.0,7,12809,14223000
Ahmedabad,Chandkheda,4,2393,5.0,2,2,1.0,3.0,15,Semi-Furnished,Apartment,6.7,1.9,4.0,1,3.0,10,8931,17123000
Delhi,Rohini,5,2267,5.0,2,2,1.0,1.0,10,Unfurnished,Apartment,2.3,6.2,0.0,6,7.0,4,13450,20549000
Delhi,Rohini,3,1685,3.0,5,3,1.0,2.0,5,Unfurnished,Apartment,4.6,0.8,2.0,3,9.0,9,4690,16902000
Ahmedabad,Chandkheda,1,997,1.0,7,3,1.0,1.0,21,Fully-Furnished,Apartment,2.9,6.0,1.0,0,1.0,9,2792,6932000
Ahmedabad,Maninagar,1,938,1.0,3,1,2.0,1.0,31,Unfurnished,Apartment,10.7,9.6,2.0,1,4.0,7,5485,4631000
Ahmedabad,Satellite,3,1912,3.0,7,5,1.0,2.0,33,Fully-Furnished,Villa,6.0,9.6,7.0,5,8.0,7,4074,14392000
Kolkata,Salt Lake,2,1402,1.0,4,1,2.0,1.0,17,Semi-Furnished,Villa,6.6,2.4,7.0,5,7.0,3,8043,8206000
Kolkata,Dum Dum,4,2451,3.0,3,3,2.0,2.0,14,Unfurnished,Apartment,5.8,3.5,4.0,0,5.0,9,8003,14288000
Visakhapatnam,Dwaraka Nagar,4,2201,5.0,5,1,0.0,1.0,25,Fully-Furnished,Independent House,16.5,2.6,0.0,4,3.0,8,10523,11956000
Pune,Wakad,2,1457,1.0,4,3,2.0,2.0,30,Semi-Furnished,Apartment,3.8,3.7,4.0,6,3.0,1,4310,10789000
Ahmedabad,Vastrapur,4,2010,4.0,2,2,2.0,3.0,16,Fully-Furnished,Apartment,1.5,3.5,9.0,5,7.0,6,6164,15089000
Visakhapatnam,Seethammadhara,3,1597,4.0,2,1,2.0,1.0,31,Unfurnished,Apartment,5.6,5.0,3.0,6,2.0,7,7937,8921000
Chennai,T Nagar,3,1902,2.0,5,4,3.0,1.0,16,Unfurnished,Independent House,5.0,5.2,10.0,7,9.0,5,4877,14329000
Kolkata,Salt Lake,2,1184,2.0,6,2,1.0,0.0,12,Semi-Furnished,Independent House,10.7,4.5,2.0,4,3.0,5,2721,8229000
Kolkata,New Town,4,2157,3.0,15,5,1.0,1.0,12,Fully-Furnished,Apartment,17.9,2.0,10.0,1,,6,6330,14667000
Delhi,Vasant Kunj,4,1985,5.0,6,3,2.0,2.0,5,Semi-Furnished,Apartment,3.9,6.0,10.0,6,1.0,3,6155,20903000
Delhi,Mayur Vihar,4,2167,5.0,12,11,2.0,3.0,0,Unfurnished,Apartment,12.9,0.6,10.0,4,5.0,8,8292,22118000
Hyderabad,Miyapur,2,1641,2.0,5,4,1.0,1.0,16,Unfurnished,Villa,3.6,8.0,2.0,6,5.0,9,4826,11201000
Visakhapatnam,Gajuwaka,3,2120,3.0,5,3,2.0,1.0,12,Unfurnished,Apartment,3.9,1.6,6.0,4,5.0,5,11143,12393000
Pune,Hinjewadi,4,2126,3.0,15,10,1.0,1.0,24,Semi-Furnished,Apartment,22.0,3.5,7.0,4,9.0,4,9065,17077000
Delhi,Mayur Vihar,3,1540,3.0,4,1,1.0,1.0,0,Unfurnished,Apartment,13.9,1.3,7.0,4,1.0,6,3278,15101000
Ahmedabad,Vastrapur,2,1342,2.0,15,12,1.0,1.0,37,Semi-Furnished,Apartment,1.3,2.6,6.0,0,1.0,4,6469,7791000
Visakhapatnam,MVP Colony,4,2675,3.0,12,5,2.0,3.0,16,Fully-Furnished,Villa,9.4,1.5,7.0,3,10.0,7,7279,17122000
Hyderabad,Banjara Hills,3,1633,3.0,10,10,1.0,3.0,19,Fully-Furnished,Villa,15.2,4.5,10.0,3,6.0,8,8298,13707000
Ahmedabad,Maninagar,2,1020,1.0,10,6,2.0,1.0,25,Semi-Furnished,Apartment,6.1,8.2,6.0,6,8.0,3,5997,6457000
Bengaluru,Yelahanka,2,1420,1.0,6,5,2.0,2.0,5,Semi-Furnished,Apartment,9.9,15.0,3.0,1,9.0,10,5992,13451000
Vijayawada,Benz Circle,2,1419,3.0,4,3,2.0,2.0,0,Semi-Furnished,Apartment,3.7,6.6,4.0,6,4.0,1,4159,8436000
Hyderabad,Gachibowli,2,1396,1.0,12,10,0.0,1.0,30,Semi-Furnished,Villa,8.4,1.1,6.0,0,3.0,4,4900,8927000
Bengaluru,Whitefield,2,1343,2.0,4,2,2.0,2.0,37,Semi-Furnished,Apartment,1.4,8.2,9.0,4,1.0,3,7551,11092000
Chennai,Adyar,4,2361,4.0,4,4,2.0,0.0,10,Semi-Furnished,Apartment,2.0,8.3,3.0,5,9.0,8,9098,20065000
Hyderabad,Kondapur,3,2150,4.0,4,1,1.0,1.0,39,Fully-Furnished,Apartment,11.6,3.6,8.0,0,10.0,3,5939,16756000
Mumbai,Borivali,3,1842,3.0,6,1,1.0,2.0,40,Unfurnished,Independent House,5.3,0.5,10.0,2,7.0,8,4567,28685000
Bengaluru,HSR Layout,3,1885,4.0,15,10,3.0,1.0,26,Semi-Furnished,Independent House,7.9,3.4,9.0,3,5.0,6,6776,17593000
Mumbai,Navi Mumbai,2,1055,2.0,3,3,1.0,2.0,2,Semi-Furnished,Apartment,19.9,0.9,7.0,0,4.0,3,3073,16667000
Delhi,Dwarka,4,2163,3.0,4,4,0.0,0.0,40,Semi-Furnished,Independent House,8.0,1.8,8.0,0,8.0,7,5805,20246000
Ahmedabad,Chandkheda,2,1547,2.0,4,3,1.0,2.0,28,Fully-Furnished,Apartment,2.8,4.8,1.0,2,4.0,4,7015,11358000
Chennai,T Nagar,3,2034,2.0,4,2,2.0,2.0,6,Fully-Furnished,Apartment,17.9,0.9,1.0,6,6.0,9,6410,16979000
Vijayawada,Moghalrajpuram,2,1412,2.0,15,1,0.0,2.0,14,Fully-Furnished,Apartment,4.8,1.6,1.0,2,10.0,8,2986,9046000
Bengaluru,Indiranagar,5,2641,6.0,2,2,2.0,2.0,22,Unfurnished,Independent House,13.1,2.9,5.0,4,7.0,4,5416,21998000
Ahmedabad,Chandkheda,3,1697,4.0,6,5,2.0,2.0,38,Semi-Furnished,Villa,14.0,0.3,10.0,5,5.0,8,8034,12076000
Ahmedabad,Bodakdev,4,2253,4.0,5,5,1.0,1.0,17,Semi-Furnished,Independent House,2.8,5.0,9.0,1,8.0,3,9894,15263000
Ahmedabad,Prahlad Nagar,3,1815,2.0,7,7,1.0,2.0,26,Semi-Furnished,Independent House,3.7,1.9,9.0,2,1.0,3,7365,11950000
Bengaluru,Electronic City,4,1998,4.0,6,6,1.0,1.0,6,Unfurnished,Independent House,9.8,6.7,6.0,6,7.0,5,6530,18828000
Pune,Baner,3,1963,3.0,3,1,1.0,1.0,33,Semi-Furnished,Apartment,7.8,6.1,0.0,5,6.0,6,6063,15622000
Ahmedabad,Satellite,2,1577,1.0,12,4,1.0,3.0,22,Unfurnished,Independent House,8.7,0.8,1.0,5,4.0,10,8381,9729000
Bengaluru,Koramangala,4,2572,4.0,4,4,1.0,2.0,16,Fully-Furnished,Apartment,18.6,3.0,0.0,7,5.0,8,8541,25057000
Delhi,Mayur Vihar,3,1967,3.0,5,4,1.0,1.0,7,Semi-Furnished,Independent House,10.3,2.0,5.0,4,2.0,7,8452,19077000
Ahmedabad,Maninagar,3,1652,3.0,8,4,1.0,1.0,37,Semi-Furnished,Villa,2.9,1.5,10.0,3,4.0,4,4420,12128000
Pune,Hinjewadi,2,1383,2.0,4,2,3.0,2.0,6,Fully-Furnished,Independent House,5.6,2.8,9.0,7,4.0,10,7493,12725000
Hyderabad,Kukatpally,2,1003,3.0,6,2,3.0,1.0,22,Semi-Furnished,Apartment,12.8,0.7,2.0,0,2.0,4,5309,7690000
Mumbai,Bandra,1,797,1.0,12,9,1.0,2.0,38,Unfurnished,Independent House,10.4,4.0,8.0,6,5.0,1,3374,11861000
Vijayawada,Moghalrajpuram,2,1545,2.0,15,11,1.0,1.0,30,Unfurnished,Apartment,9.8,1.9,6.0,6,9.0,2,8417,7500000
Mumbai,Powai,1,1101,1.0,6,4,1.0,0.0,38,Fully-Furnished,Apartment,6.1,9.6,0.0,5,1.0,3,3064,16076000
Delhi,Pitampura,2,1444,2.0,12,4,3.0,1.0,28,Semi-Furnished,Villa,10.9,7.6,4.0,1,5.0,4,6941,13488000
Vijayawada,Governorpet,3,1887,3.0,15,2,2.0,1.0,37,Unfurnished,Apartment,19.3,2.7,8.0,7,3.0,1,9511,7791000
Hyderabad,Kukatpally,3,1967,2.0,7,5,2.0,1.0,32,Semi-Furnished,Apartment,5.5,5.0,3.0,6,1.0,1,4807,14507000
Chennai,T Nagar,3,2303,3.0,8,8,2.0,1.0,39,Semi-Furnished,Independent House,3.5,1.7,6.0,3,3.0,1,10573,17880000
Delhi,Vasant Kunj,4,2175,3.0,10,7,1.0,1.0,4,Fully-Furnished,Apartment,2.4,5.0,3.0,5,3.0,6,6643,23535000
Pune,Viman Nagar,4,2182,3.0,3,1,1.0,1.0,0,Fully-Furnished,Apartment,2.9,10.0,7.0,5,9.0,2,11088,21971000
Hyderabad,Kondapur,2,1551,2.0,15,15,1.0,2.0,12,Semi-Furnished,Independent House,5.3,6.0,7.0,0,6.0,6,5789,12699000
Hyderabad,Kukatpally,3,1655,2.0,15,7,2.0,1.0,12,Unfurnished,Apartment,5.1,5.0,9.0,6,5.0,3,8162,11314000
Pune,Hinjewadi,3,1472,2.0,6,6,2.0,0.0,20,Semi-Furnished,Apartment,5.5,1.2,2.0,5,8.0,9,7754,13317000
Bengaluru,Yelahanka,1,1238,1.0,7,7,2.0,2.0,6,Unfurnished,Villa,6.7,3.8,0.0,5,9.0,3,4197,11747000
Kolkata,Dum Dum,2,1397,3.0,7,4,1.0,2.0,15,Semi-Furnished,Apartment,4.0,3.4,0.0,2,8.0,3,6897,8569000
Mumbai,Andheri,4,1967,3.0,5,3,1.0,1.0,36,Fully-Furnished,Apartment,0.6,4.3,0.0,7,1.0,2,7379,31469000
Visakhapatnam,Madhurawada,3,1885,3.0,15,9,2.0,1.0,31,Semi-Furnished,Independent House,19.0,6.8,1.0,2,6.0,4,9714,10433000
Bengaluru,Indiranagar,2,1641,,8,3,1.0,2.0,12,Unfurnished,Apartment,0.9,1.8,1.0,3,4.0,4,5735,14269000
Chennai,T Nagar,3,1672,2.0,10,1,2.0,3.0,37,Unfurnished,Apartment,13.4,1.0,3.0,7,2.0,4,8568,9891000
Ahmedabad,Maninagar,4,2162,4.0,4,2,1.0,2.0,30,Fully-Furnished,Independent House,6.9,5.5,2.0,4,7.0,6,11946,14722000
Pune,Kharadi,3,2070,2.0,6,2,1.0,2.0,2,Semi-Furnished,Apartment,13.2,5.7,9.0,4,9.0,7,5153,17121000
Ahmedabad,Maninagar,2,1614,2.0,5,2,3.0,2.0,16,Fully-Furnished,Apartment,5.4,3.0,2.0,3,7.0,10,9395,12022000
Hyderabad,Kondapur,2,1714,1.0,5,2,2.0,2.0,17,Semi-Furnished,Apartment,3.5,2.1,3.0,0,9.0,6,4037,13197000
Vijayawada,Poranki,4,2135,5.0,4,4,2.0,1.0,1,Fully-Furnished,Apartment,1.9,4.6,7.0,4,2.0,3,12034,12580000
Bengaluru,Koramangala,2,1897,3.0,12,6,3.0,1.0,13,Fully-Furnished,Apartment,2.0,3.1,8.0,1,1.0,3,4701,18038000
Mumbai,Navi Mumbai,3,1573,2.0,3,1,2.0,,14,Unfurnished,Apartment,12.1,8.9,2.0,2,9.0,9,4494,25562000
Bengaluru,Yelahanka,1,952,1.0,15,13,0.0,2.0,17,Fully-Furnished,Apartment,12.6,2.4,7.0,6,8.0,2,2532,9420000
Pune,Hinjewadi,4,2291,4.0,15,5,1.0,2.0,4,Semi-Furnished,Apartment,7.3,3.8,10.0,2,6.0,9,11743,18728000
Ahmedabad,Maninagar,2,1306,3.0,6,1,1.0,1.0,38,Semi-Furnished,Apartment,5.6,1.3,3.0,2,1.0,8,3652,8946000
Ahmedabad,Maninagar,4,2412,4.0,12,6,2.0,2.0,14,Fully-Furnished,Apartment,1.9,1.9,6.0,5,5.0,5,9650,18811000
Hyderabad,Madhapur,3,1696,4.0,8,2,1.0,1.0,27,Fully-Furnished,Villa,4.6,1.5,6.0,6,8.0,6,10148,13404000
Hyderabad,Kukatpally,1,535,1.0,7,2,3.0,1.0,7,Fully-Furnished,Apartment,1.8,3.6,2.0,4,2.0,3,2710,4063000
Mumbai,Thane,4,2196,5.0,4,3,1.0,2.0,39,Unfurnished,Apartment,11.7,1.0,6.0,7,8.0,6,8804,33416000
Delhi,Vasant Kunj,4,2259,4.0,4,2,1.0,1.0,40,Fully-Furnished,Independent House,1.7,1.2,6.0,6,3.0,2,7801,23315000
Hyderabad,Kondapur,2,1353,1.0,7,4,2.0,2.0,16,Unfurnished,Apartment,6.0,1.3,5.0,3,4.0,5,5750,8808000
Pune,Viman Nagar,3,1174,3.0,10,9,2.0,3.0,39,Fully-Furnished,Apartment,6.2,1.7,10.0,4,3.0,6,2521,10243000
Hyderabad,Kondapur,3,1665,4.0,3,1,0.0,1.0,32,Unfurnished,Apartment,15.3,1.7,2.0,6,6.0,5,5808,9756000
Vijayawada,Governorpet,2,1164,2.0,12,3,1.0,0.0,37,Fully-Furnished,Independent House,14.2,2.6,3.0,7,7.0,5,2345,4576000
Delhi,Dwarka,1,775,1.0,15,8,2.0,1.0,39,Semi-Furnished,Apartment,1.2,2.3,8.0,3,8.0,1,3133,8531000
Ahmedabad,Bodakdev,3,2291,4.0,10,6,1.0,1.0,9,Unfurnished,Apartment,17.8,4.7,6.0,5,6.0,6,10322,14992000
Visakhapatnam,Gajuwaka,3,1767,3.0,12,9,1.0,2.0,34,Unfurnished,Apartment,9.1,3.3,10.0,6,3.0,7,5637,8100000
Ahmedabad,Prahlad Nagar,2,1387,2.0,8,8,0.0,0.0,1,Semi-Furnished,Independent House,12.2,1.9,9.0,0,4.0,10,3564,10785000
Hyderabad,Gachibowli,3,1563,3.0,4,4,1.0,1.0,20,Fully-Furnished,Independent House,12.6,0.9,6.0,3,6.0,7,6802,12080000
Visakhapatnam,Rushikonda,5,2697,6.0,8,6,3.0,1.0,25,Semi-Furnished,Apartment,14.4,1.3,2.0,1,8.0,6,11253,15377000
Pune,Hadapsar,3,1733,3.0,2,2,3.0,2.0,1,Semi-Furnished,Apartment,24.7,2.9,4.0,1,9.0,4,4366,14725000
Visakhapatnam,Dwaraka Nagar,1,891,2.0,12,6,1.0,2.0,2,Semi-Furnished,Apartment,14.4,2.9,0.0,0,5.0,8,3579,6010000
Hyderabad,Madhapur,3,1543,3.0,10,10,0.0,1.0,29,Unfurnished,Apartment,3.1,8.6,7.0,5,6.0,7,3278,11085000
Chennai,T Nagar,2,1193,3.0,7,4,1.0,1.0,25,Fully-Furnished,Apartment,25.0,7.9,3.0,5,6.0,6,2653,9523000
Mumbai,Navi Mumbai,3,2188,3.0,4,4,1.0,2.0,31,Unfurnished,Apartment,23.1,1.0,7.0,7,9.0,7,9939,32954000
Vijayawada,Benz Circle,2,1129,2.0,6,1,2.0,2.0,27,Fully-Furnished,Apartment,4.3,2.0,10.0,2,1.0,6,3858,5194000
Hyderabad,Banjara Hills,1,1182,1.0,6,5,2.0,3.0,11,Semi-Furnished,Independent House,4.8,3.0,1.0,5,8.0,8,6085,9446000
Ahmedabad,Satellite,2,1472,2.0,4,1,2.0,3.0,28,Semi-Furnished,Apartment,16.1,2.2,1.0,0,9.0,2,6915,8489000
Ahmedabad,Bodakdev,1,1464,1.0,4,1,2.0,1.0,21,Semi-Furnished,Independent House,15.4,1.5,2.0,1,6.0,1,5550,7951000
Mumbai,Powai,2,1068,1.0,3,2,2.0,3.0,13,Semi-Furnished,Apartment,3.2,1.5,2.0,6,6.0,8,2368,17623000
Vijayawada,Patamata,4,1887,5.0,5,3,2.0,2.0,1,Semi-Furnished,Apartment,8.8,3.9,8.0,5,4.0,8,9621,11295000
Bengaluru,Yelahanka,3,2072,4.0,2,1,1.0,1.0,40,Fully-Furnished,Apartment,15.1,2.1,1.0,2,7.0,7,9062,18961000
Ahmedabad,Satellite,3,1884,2.0,10,3,2.0,1.0,34,Fully-Furnished,Independent House,7.1,2.0,0.0,6,10.0,7,9118,12686000
Chennai,Velachery,2,1547,3.0,6,4,1.0,1.0,40,Unfurnished,Apartment,3.5,5.6,5.0,0,8.0,2,8467,11214000
Pune,Baner,3,1460,3.0,8,6,2.0,1.0,20,Semi-Furnished,Apartment,4.4,1.6,5.0,5,10.0,6,8494,11949000
Visakhapatnam,Seethammadhara,3,1661,4.0,2,2,1.0,1.0,31,Fully-Furnished,Apartment,2.3,1.2,0.0,2,6.0,10,4240,10331000
Delhi,Dwarka,3,1775,4.0,5,4,1.0,3.0,28,Semi-Furnished,Apartment,2.6,2.8,9.0,3,5.0,6,3606,17936000
Vijayawada,Moghalrajpuram,4,2198,3.0,3,1,1.0,1.0,23,Fully-Furnished,Apartment,1.9,0.3,7.0,6,9.0,4,10299,13124000
Ahmedabad,Satellite,3,1566,3.0,12,2,2.0,1.0,13,Semi-Furnished,Apartment,12.5,1.8,1.0,2,7.0,9,3740,11543000
Visakhapatnam,Gajuwaka,2,1436,2.0,10,3,2.0,1.0,14,Unfurnished,Apartment,7.4,1.5,5.0,1,3.0,3,7527,7154000
Hyderabad,Kondapur,2,1646,1.0,4,2,1.0,1.0,5,Semi-Furnished,Apartment,2.4,2.5,6.0,5,6.0,4,3898,13414000
Kolkata,Rajarhat,5,2541,6.0,3,2,3.0,1.0,24,Semi-Furnished,Apartment,9.4,6.7,6.0,0,6.0,4,12218,16195000
Hyderabad,Madhapur,3,1689,3.0,3,3,1.0,1.0,4,Unfurnished,Apartment,3.5,1.1,0.0,3,9.0,9,4450,12362000
Hyderabad,Miyapur,4,2154,4.0,6,4,2.0,2.0,12,Semi-Furnished,Apartment,3.9,12.1,2.0,0,4.0,2,5584,14851000
Vijayawada,Gunadala,2,1415,3.0,3,1,1.0,1.0,15,Unfurnished,Apartment,0.5,2.4,7.0,1,7.0,9,7551,7680000
Chennai,OMR,3,2083,4.0,7,6,2.0,1.0,28,Semi-Furnished,Villa,6.2,2.6,5.0,2,9.0,10,10347,17859000
Mumbai,Bandra,3,1894,3.0,2,2,1.0,2.0,29,Unfurnished,Apartment,3.6,7.2,7.0,1,9.0,8,9426,29415000
Pune,Hinjewadi,3,1912,2.0,10,1,2.0,2.0,29,Semi-Furnished,Independent House,9.2,6.2,10.0,6,8.0,3,11310,15754000
